AGPR ID,Land Description,Address,Suburb,State or Territory,Postcode,Latitude,Longitude
AGPR989,Lot 22 on RP121668,Southern Amberley Road AMBERLEY,AMBERLEY,QLD,4306,-27.64002393,152.6949467
AGPR978,Lot 186 Plan SP103550,0 Norman Road NORMAN GARDENS,NORMAN GARDENS,QLD,4701,-23.32151346,150.5481861
AGPR949,Section 00265 Hundred of Bray plans 2015/240,1410 Charles Point Road COX PENINSULA,COX PENINSULA,NT,822,-12.394,130.621
AGPR947,Section 00033 Hundred of Bray plan A  000715,284 Charles Point Road COX PENINSULA,COX PENINSULA,NT,822,-12.44702417,130.7412552
AGPR929,N.T. Portion  06241 plan S2002/175B          ,7230 Buntine Highway DELAMERE,DELAMERE,NT,852,-15.83033088,131.8304739
AGPR928,Portion 02260 Hundred of Bagot plan S  79/149B,143 Buffalo Creek Road BUFFALO CREEK,BUFFALO CREEK,NT,810,-12.34308215,130.9335549
AGPR925,Lot 00105 Town of Elliott plan S  78/125,9 Browne Street ELLIOTT,ELLIOTT,NT,862,-17.55514024,133.54482
AGPR920,Section 03085 Hundred of Bagot plan S  86/317,Berrimah Road WISHART,WISHART,NT,822,-12.45547485,130.9272811
AGPR915,Lot 1 Plan DP700616 ,91 Gipps Street GWYNNEVILLE,GWYNNEVILLE,NSW,2500,-34.41682541,150.8870568
AGPR905,Lot 2 Plan DP1068011 ,75 Oxford Street PADDINGTON,PADDINGTON,NSW,2021,-33.88557778,151.2230866
AGPR899,Lot 4 Plan 856209,Swan Bay Road SWAN BAY,SWAN BAY,NSW,2324,-32.69551729,151.9274136
AGPR898,Lot 3 Plan 856209,Swan Bay Road SWAN BAY,SWAN BAY,NSW,2324,-32.69554746,151.918645
AGPR850,Lot 1  DP85382,Sturt Highway WAGGA WAGGA,WAGGA WAGGA,NSW,2650,-35.15423444,147.4688432
AGPR842,Lot 3 Plan 33537,SPECTACLE ISLAND,SPECTACLE ISLAND,NSW,2047,-33.84794225,151.1654259
AGPR841,Lot 4 Plan 33537,SPECTACLE ISLAND,SPECTACLE ISLAND,NSW,2047,-33.84878684,151.1641681
AGPR840,Lot 2 Plan 33537,SPECTACLE ISLAND,SPECTACLE ISLAND,NSW,2047,-33.84952597,151.1642648
AGPR839,Lot 1 Plan 33537,SPECTACLE ISLAND,SPECTACLE ISLAND,NSW,2047,-33.84924522,151.1635185
AGPR835,Lot 2  DP607310,Rosemount Road DENMAN,DENMAN,NSW,2328,-32.3665357,150.6171565
AGPR834,Lot 3005  DP1125930,ANZAC Road MOOREBANK,MOOREBANK,NSW,2170,-33.94526121,150.9341793
AGPR833,Lot 2 Plan 107946,2/815 Riverina Highway THURGOONA,THURGOONA,NSW,2640,-36.0828385,147.0038234
AGPR829,Lot 197  DP824047,5 Hawkesbury Valley Way RICHMOND,RICHMOND,NSW,2753,-33.60215628,150.7666733
AGPR825,Lot 1  DP598180,419-499 Londonderry Road LONDONDERRY,LONDONDERRY,NSW,2753,-33.64035708,150.7392348
AGPR824,Lot 1  DP847343,29 Great Western Highway GLENBROOK,GLENBROOK,NSW,2773,-33.76532627,150.6352752
AGPR822,Lot 1  DP776440,740 Henry Lawson Drive PICNIC POINT,PICNIC POINT,NSW,2213,-33.96889826,150.9942944
AGPR821,Lot 5 Plan 233358,Popplewell Road FERN BAY,FERN BAY,NSW,2295,-32.87395223,151.8086096
AGPR815,Lot 21  DP1036030,Parker Street COOTAMUNDRA,COOTAMUNDRA,NSW,2590,-34.64095258,148.0224871
AGPR809,Lot 1  DP607550,Vaucluse Road VAUCLUSE,VAUCLUSE,NSW,2030,-33.85127936,151.2647174
AGPR808,Lot 2 Plan 1143947,New England Highway WHITTINGHAM,WHITTINGHAM,NSW,2330,-32.69480208,151.1862429
